Province,Rain,Drought,Test
Wellington,9,0,1
West Area,0,0,1
West Arsi,9,1,1
West Australia,7,7,1
West Azarbayejan,21,0,1
West Bahr Ghazal,0,0,1
West Bank,4,7,1
West Bengal,12,0,1
West Cape,9,9,1
West Darfur,7,4,1
West Equatoria,3,0,1
West Finland,9,4,1
West Gojam,9,2,1
West Harerge,13,8,1
West Highlands,15,0,2
West New Britain,0,0,1
West Nile,2,0,1
West Pokot,20,3,1
West Sepik,0,0,1
West Shewa,5,2,1
West Virginia,10,0,1
West Visayas,17,0,1
West Wellega,7,0,1
Western,24,4,3
Westland,26,0,1
White Nile,2,2,1
Wielkopolskie,19,2,1
Wien,0,0,1
Wisconsin,16,1,1
Wolayita,10,0,1
Woleu-Ntem,0,0,1
Woqooyi Galbeed,8,6,1
Woroba,7,0,1
Wyoming,16,12,1
Xaignabouli,5,1,1
Xekong,15,5,1
Xentii,5,8,1
Xiangkhouang,14,2,1
Xinjiang U.Z.,1,8,1
Xizang Zizhiqu,8,4,1
Xovd,0,0,1
Xo'vsgol,0,0,1
Yafran (yefren),4,6,1
Yala,19,0,1
Yalova,33,2,1
Yamagata,22,0,1
Yamaguti,19,0,1
Yamalo-nenetskiy,0,0,1
Yamanasi,15,0,1
Yamoussoukro,0,0,1
Yanggang-do,9,0,1
Yangon,17,3,1
Yaracuy,16,0,1
Yaroslavskaya ,13,1,1
Yasothon,10,3,1
Yazd,9,0,1
Yem,6,1,1
Yen Bai,18,0,1
Yevreyskaya A. ,9,1,1
Yobe,9,4,1
Yoro,14,0,1
Yozgat,14,10,1
Ysyk-Kol,8,18,1
Yucatan,11,0,1
Yujno K.,14,4,1
Yukhari Garabakh,25,0,1
Yukon,0,0,1
Yunnan Sheng,20,0,1
Zabul,5,0,1
Zacatecas,17,7,1
Zachodnio,9,3,1
Zaghouan,8,9,1
Zaire,0,0,1
Zakarpats'ka,17,8,1
Zambezi,10,19,1
Zambezia,10,0,1
Zamboanga,21,0,1
Zamfara,11,3,1
Zamora Chinchipe,0,0,1
Zanjan,20,6,1
Zanzan,12,0,1
Zapadno K.,17,0,1
Zapadocesky,4,9,1
Zaporiz'ka,28,6,1
Zarqa,3,4,1
Zavxan,0,0,1
Zeleitin,12,8,1
Zhejiang Sheng,18,0,1
Zhytomyrs'ka,9,1,1
Ziguinchor,0,4,1
Zilna,12,4,1
Zinder,4,7,1
Zona No Del.,9,7,1
Zonguldak,13,9,1
Zou,9,2,1
Zulia,23,3,1
